time;x;y;z
1637947436.325961;+0.003;-0.003;-0.001
1637947436.54598;+0.003;-0.003;-0.002
1637947436.765978;+0.002;-0.002;-0.002
1637947436.985675;+0.003;-0.001;-0.002
1637947437.205947;+0.002;-0.003;-0.001
1637947437.42598;+0.003;-0.002;-0.002
1637947437.64595;+0.003;-0.002;-0.003
1637947437.86597;+0.002;-0.002;-0.001
1637947438.085949;+0.002;-0.001;-0.002
1637947438.305924;+0.002;-0.002;-0.002
1637947438.525752;+0.002;-0.002;-0.002
1637947438.74468;+0.002;-0.002;-0.003
1637947438.964938;+0.003;-0.002;-0.002
1637947439.184885;+0.003;-0.002;-0.003
1637947439.404898;+0.002;-0.001;-0.002
1637947439.625048;+0.002;-0.002;-0.002
1637947439.845037;+0.003;-0.001;-0.002
1637947440.065022;+0.002;-0.002;-0.001
1637947440.28503;+0.002;-0.001;-0.002
1637947440.504934;+0.001;-0.002;-0.001
1637947440.724551;+0.002;-0.002;-0.003
1637947440.934575;+0.003;-0.001;-0.002
1637947441.144993;+0.003;-0.002;-0.002
1637947441.364898;+0.002;-0.002;-0.002
1637947441.584891;+0.003;-0.001;-0.003
1637947441.80493;+0.002;-0.001;-0.001
1637947442.024992;+0.003;-0.003;-0.002
1637947442.24488;+0.003;-0.003;-0.002
1637947442.464975;+0.003;-0.002;-0.002
1637947442.684862;+0.002;-0.001;-0.001
1637947442.905356;+0.003;-0.001;-0.002
1637947443.124066;+0.003;-0.003;-0.003
1637947443.334852;+0.003;-0.003;-0.003
1637947443.554857;+0.002;-0.001;-0.001
1637947443.77502;+0.003;-0.002;-0.002
1637947443.994858;+0.003;-0.001;-0.002
1637947444.214853;+0.002;-0.002;-0.002
1637947444.434509;+0.002;-0.002;-0.001
1637947444.654895;+0.003;-0.002;-0.002
1637947444.874987;+0.004;-0.003;-0.001
1637947445.094919;+0.003;-0.002;-0.002
1637947445.314848;+0.003;-0.003;-0.002
1637947445.534841;+0.002;-0.003;-0.001
1637947445.754958;+0.002;-0.003;-0.002
1637947445.974864;+0.003;-0.002;-0.001
1637947446.19391;+0.002;-0.002;-0.002
1637947446.413906;+0.002;-0.002;-0.002
1637947446.633897;+0.003;-0.002;-0.001
1637947446.853991;+0.002;-0.003;-0.002
1637947447.073531;+0.003;-0.001;-0.002
1637947447.293855;+0.003;-0.003;-0.002
1637947447.51397;+0.003;-0.003;-0.002
1637947447.733885;+0.004;-0.001;-0.002
1637947447.953653;+0.003;-0.002;-0.002
1637947448.163511;+0.002;-0.002;-0.003
1637947448.383792;+0.002;-0.002;-0.002
1637947448.603822;+0.003;-0.003;-0.002
1637947448.824039;+0.003;-0.001;-0.002
1637947449.04394;+0.003;-0.002;-0.001
1637947449.263898;+0.002;-0.002;-0.002
1637947449.483896;+0.002;-0.001;-0.001
1637947449.703952;+0.002;-0.001;-0.001
1637947449.923901;+0.002;-0.002;-0.003
1637947450.143901;+0.003;-0.002;-0.003
1637947450.36394;+0.002;-0.002;-0.001
1637947450.583888;+0.003;-0.002;-0.001
1637947450.80392;+0.002;-0.002;-0.002
1637947451.02353;+0.003;-0.002;-0.001
1637947451.243809;+0.002;-0.002;-0.002
1637947451.463821;+0.002;-0.001;-0.002
1637947451.683919;+0.002;-0.003;-0.002
1637947451.903904;+0.003;-0.002;-0.002
1637947452.123917;+0.003;-0.003;-0.002
1637947452.344326;+0.002;-0.003;-0.002
1637947452.563792;+0.002;-0.002;-0.001
1637947452.783835;+0.003;-0.001;-0.002
1637947453.00381;+0.001;-0.002;-0.002
1637947453.223488;+0.003;-0.002;-0.002
1637947453.443845;+0.002;-0.001;-0.002
1637947453.662851;+0.003;-0.003;-0.002
1637947453.882832;+0.003;-0.002;-0.002
1637947454.10391;+0.002;-0.002;-0.002
1637947454.322811;+0.004;-0.002;-0.002
1637947454.542887;+0.003;-0.003;-0.002
1637947454.762871;+0.002;-0.002;-0.002
1637947454.982908;+0.002;-0.002;-0.002
1637947455.202828;+0.003;-0.002;-0.002
1637947455.422812;+0.003;-0.002;-0.001
1637947455.642899;+0.002;-0.002;-0.002
1637947455.862822;+0.004;-0.002;-0.003
1637947456.082791;+0.003;-0.001;-0.001
1637947456.302795;+0.002;-0.001;-0.002
1637947456.522826;+0.002;-0.002;-0.002
1637947456.742816;+0.003;-0.001;-0.001
1637947456.962897;+0.003;-0.002;-0.002
1637947457.18298;+0.003;-0.002;-0.002
1637947457.402881;+0.003;-0.002;-0.001
1637947457.622845;+0.003;-0.002;-0.002
1637947457.842863;+0.002;-0.002;-0.002
1637947458.062793;+0.002;-0.002;-0.002
1637947458.282519;+0.002;-0.002;-0.002
1637947458.502512;+0.002;-0.002;-0.002
1637947458.722833;+0.003;-0.003;-0.002
1637947458.942969;+0.002;-0.001;-0.002
1637947459.162841;+0.002;-0.001;-0.001
1637947459.382895;+0.003;-0.001;-0.002
1637947459.602758;+0.002;-0.002;-0.003
1637947459.822514;+0.003;-0.002;-0.002
1637947460.042847;+0.003;-0.001;-0.002
1637947460.262842;+0.002;-0.002;-0.001
1637947460.482855;+0.003;-0.001;-0.002
1637947460.702832;+0.003;-0.001;-0.001
1637947460.922832;+0.002;-0.001;-0.002
1637947461.141948;+0.004;-0.002;-0.002
1637947461.361849;+0.002;-0.002;-0.002
1637947461.581919;+0.002;-0.002;-0.002
1637947461.801758;+0.002;-0.002;-0.002
1637947462.021859;+0.003;-0.001;-0.002
1637947462.241826;+0.002;-0.001;-0.002
1637947462.461876;+0.003;-0.002;-0.001
1637947462.681851;+0.003;-0.002;-0.001
1637947462.901812;+0.002;-0.002;-0.002
1637947463.121928;+0.003;-0.003;-0.001
1637947463.341791;+0.003;-0.001;-0.002
1637947463.561837;+0.002;-0.001;-0.003
1637947463.781835;+0.002;-0.001;-0.002
1637947464.001919;+0.003;-0.001;-0.001
1637947464.221855;+0.004;-0.002;-0.002
1637947464.441382;+0.003;-0.001;-0.003
1637947464.661846;+0.002;-0.002;-0.002
1637947464.881793;+0.003;-0.002;-0.002
