time;x;y;z
1637936445.968869;+0.003;-0.002;-0.002
1637936446.188757;+0.004;-0.003;-0.002
1637936446.40876;+0.003;-0.002;-0.002
1637936446.628765;+0.003;-0.002;-0.002
1637936446.847776;+0.003;-0.002;-0.002
1637936447.067751;+0.002;-0.002;-0.002
1637936447.287718;+0.003;-0.003;-0.002
1637936447.507736;+0.003;-0.001;-0.001
1637936447.727788;+0.002;-0.002;-0.002
1637936447.947775;+0.003;-0.003;-0.002
1637936448.167771;+0.003;-0.002;-0.002
1637936448.39777;+0.003;-0.002;-0.003
1637936448.617804;+0.004;-0.002;-0.003
1637936448.837749;+0.002;-0.002;-0.002
1637936449.05773;+0.002;-0.002;-0.003
1637936449.277763;+0.003;-0.002;-0.002
1637936449.497745;+0.002;-0.001;-0.002
1637936449.717807;+0.002;-0.003;-0.002
1637936449.937763;+0.003;-0.003;-0.002
1637936450.157739;+0.002;-0.003;-0.002
1637936450.377705;+0.002;-0.002;-0.003
1637936450.607751;+0.003;-0.002;-0.001
1637936450.827744;+0.003;-0.002;-0.003
1637936451.047765;+0.002;-0.001;-0.002
1637936451.267764;+0.002;-0.002;-0.001
1637936451.487776;+0.003;-0.002;-0.002
1637936451.707796;+0.003;-0.002;-0.002
1637936451.927712;+0.003;-0.002;-0.002
1637936452.147789;+0.003;-0.002;-0.003
1637936452.367861;+0.003;-0.002;-0.002
1637936452.587875;+0.004;-0.002;-0.002
1637936452.80774;+0.004;-0.002;-0.002
1637936453.027834;+0.002;-0.002;-0.002
1637936453.247854;+0.004;-0.003;-0.002
1637936453.467676;+0.002;-0.003;-0.002
1637936453.687679;+0.002;-0.002;-0.002
1637936453.907645;+0.003;-0.002;-0.003
1637936454.127762;+0.003;-0.002;-0.002
1637936454.356714;+0.003;-0.002;-0.002
1637936454.61671;+0.003;-0.002;-0.002
1637936454.836717;+0.003;-0.002;-0.001
1637936455.056691;+0.003;-0.002;-0.002
1637936455.286829;+0.003;-0.002;-0.001
1637936455.506714;+0.004;-0.003;-0.002
1637936455.726441;+0.002;-0.003;-0.002
1637936455.936757;+0.004;-0.003;-0.002
1637936456.156777;+0.003;-0.002;-0.003
1637936456.376763;+0.002;-0.001;-0.002
1637936456.596748;+0.003;-0.002;-0.002
1637936456.816651;+0.003;-0.003;-0.002
1637936457.03676;+0.003;-0.003;-0.002
1637936457.256774;+0.003;-0.002;-0.003
1637936457.477003;+0.003;-0.003;-0.002
1637936457.696757;+0.002;-0.001;-0.002
1637936457.91678;+0.003;-0.002;-0.002
1637936458.136671;+0.004;-0.003;-0.003
1637936458.356679;+0.003;-0.002;-0.002
1637936458.576671;+0.003;-0.002;-0.002
1637936458.796776;+0.002;-0.003;-0.002
1637936459.016798;+0.003;-0.003;-0.002
1637936459.23675;+0.003;-0.003;-0.003
1637936459.456753;+0.003;-0.003;-0.002
1637936459.676652;+0.003;-0.003;-0.002
1637936459.896685;+0.002;-0.003;-0.002
1637936460.116689;+0.004;-0.002;-0.002
1637936460.336772;+0.002;-0.001;-0.002
1637936460.556706;+0.003;-0.003;-0.002
1637936460.776751;+0.003;-0.002;-0.003
1637936460.996681;+0.002;-0.002;-0.002
1637936461.216672;+0.004;-0.002;-0.003
1637936461.436956;+0.004;-0.001;-0.003
1637936461.655589;+0.003;-0.002;-0.003
1637936461.875853;+0.004;-0.002;-0.003
1637936462.095676;+0.003;-0.002;-0.002
1637936462.315581;+0.002;-0.002;-0.003
1637936462.535587;+0.003;-0.002;-0.002
1637936462.755587;+0.003;-0.003;-0.002
1637936462.975821;+0.003;-0.003;-0.002
1637936463.195753;+0.003;-0.003;-0.002
1637936463.415593;+0.003;-0.002;-0.003
1637936463.635556;+0.002;-0.002;-0.002
1637936463.855565;+0.002;-0.002;-0.003
1637936464.075577;+0.003;-0.002;-0.002
1637936464.295572;+0.002;-0.002;-0.002
1637936464.515319;+0.003;-0.002;-0.003
1637936464.725214;+0.004;-0.001;-0.003
1637936464.945549;+0.003;-0.003;-0.003
1637936465.165588;+0.003;-0.001;-0.002
1637936465.385524;+0.002;-0.002;-0.002
1637936465.605567;+0.002;-0.002;-0.002
1637936465.825548;+0.002;-0.003;-0.001
1637936466.045748;+0.003;-0.002;-0.002
1637936466.265543;+0.003;-0.003;-0.002
1637936466.485671;+0.002;-0.002;-0.002
1637936466.705638;+0.003;-0.003;-0.002
1637936466.925679;+0.003;-0.002;-0.002
1637936467.145714;+0.003;-0.002;-0.001
1637936467.365658;+0.004;-0.001;-0.003
1637936467.585627;+0.003;-0.002;-0.002
1637936467.805665;+0.004;-0.002;-0.001
1637936468.02567;+0.004;-0.003;-0.003
1637936468.245584;+0.002;-0.002;-0.002
1637936468.465547;+0.003;-0.002;-0.002
1637936468.685688;+0.003;-0.002;-0.003
1637936468.915699;+0.003;-0.002;-0.002
1637936469.134673;+0.002;-0.002;-0.003
1637936469.35468;+0.004;-0.002;-0.002
1637936469.57467;+0.003;-0.002;-0.002
1637936469.794575;+0.003;-0.002;-0.002
1637936470.014644;+0.003;-0.002;-0.001
1637936470.234932;+0.003;-0.002;-0.003
1637936470.454577;+0.003;-0.002;-0.002
1637936470.674683;+0.003;-0.002;-0.002
1637936470.894674;+0.003;-0.002;-0.002
1637936471.114536;+0.002;-0.002;-0.002
1637936471.334719;+0.003;-0.003;-0.003
1637936471.554508;+0.004;-0.002;-0.003
1637936471.774543;+0.003;-0.002;-0.001
1637936471.994566;+0.003;-0.002;-0.002
1637936472.214545;+0.003;-0.001;-0.003
1637936472.434543;+0.003;-0.002;-0.002
1637936472.654567;+0.003;-0.002;-0.002
1637936472.874522;+0.003;-0.003;-0.002
1637936473.094521;+0.004;-0.002;-0.003
1637936473.31449;+0.004;-0.002;-0.003
1637936473.53452;+0.003;-0.002;-0.002
1637936473.75458;+0.003;-0.003;-0.002
1637936473.974666;+0.002;-0.002;-0.002
1637936474.19449;+0.003;-0.002;-0.003
1637936474.414775;+0.003;-0.003;-0.002
1637936474.634513;+0.002;-0.002;-0.002
1637936474.854502;+0.003;-0.002;-0.002
1637936475.074515;+0.002;-0.002;-0.002
1637936475.294502;+0.004;-0.002;-0.003
1637936475.514538;+0.003;-0.002;-0.003
1637936475.73449;+0.002;-0.002;-0.003
1637936475.954555;+0.003;-0.003;-0.002
1637936476.174565;+0.003;-0.002;-0.003
1637936476.394578;+0.003;-0.002;-0.002
1637936476.613559;+0.003;-0.002;-0.003
1637936476.83359;+0.004;-0.003;-0.002
1637936477.053715;+0.003;-0.002;-0.003
1637936477.273538;+0.004;-0.002;-0.002
1637936477.493519;+0.004;-0.002;-0.002
1637936477.713632;+0.003;-0.001;-0.003
1637936477.933501;+0.002;-0.002;-0.002
1637936478.15327;+0.002;-0.002;-0.003
1637936478.363504;+0.002;-0.003;-0.003
1637936478.583272;+0.003;-0.002;-0.002
1637936478.79323;+0.003;-0.003;-0.002
1637936479.00358;+0.002;-0.002;-0.001
1637936479.223583;+0.004;-0.002;-0.002
1637936479.443557;+0.003;-0.002;-0.002
1637936479.663716;+0.003;-0.003;-0.002
