time;x;y;z
1637954024.631506;+0.003;-0.002;-0.002
1637954024.851505;+0.003;-0.001;-0.001
1637954025.0718;+0.002;-0.001;-0.002
1637954025.291561;+0.003;-0.001;-0.002
1637954025.511533;+0.002;-0.002;-0.002
1637954025.731572;+0.003;-0.002;-0.002
1637954025.951666;+0.003;-0.002;-0.002
1637954026.171485;+0.002;-0.001;-0.002
1637954026.391188;+0.002;-0.003;-0.002
1637954026.601517;+0.003;-0.001;-0.002
1637954026.821523;+0.002;-0.001;-0.002
1637954027.041632;+0.003;-0.002;-0.002
1637954027.261485;+0.002;-0.002;-0.002
1637954027.48145;+0.002;-0.002;-0.001
1637954027.701538;+0.002;-0.002;-0.002
1637954027.921463;+0.003;-0.001;-0.002
1637954028.141256;+0.003;-0.002;-0.002
1637954028.36147;+0.003;-0.001;-0.001
1637954028.581375;+0.003;-0.003;-0.002
1637954028.801499;+0.002;-0.002;-0.002
1637954029.02143;+0.002;-0.002;-0.001
1637954029.241502;+0.003;-0.003;-0.002
1637954029.461484;+0.002;-0.002;-0.002
1637954029.681459;+0.003;-0.001;-0.002
1637954029.90146;+0.002;-0.002;-0.002
1637954030.121543;+0.002;-0.003;-0.002
1637954030.341505;+0.002;-0.002;-0.001
1637954030.561768;+0.003;-0.002;-0.002
1637954030.781561;+0.002;-0.002;-0.002
1637954031.001516;+0.002;-0.002;-0.002
1637954031.221545;+0.003;-0.002;-0.002
1637954031.441532;+0.003;-0.002;-0.003
1637954031.661482;+0.003;-0.003;-0.001
1637954031.881502;+0.002;-0.003;-0.002
1637954032.100566;+0.003;-0.001;-0.002
1637954032.320515;+0.002;-0.003;-0.002
1637954032.540512;+0.003;-0.001;-0.001
1637954032.760468;+0.002;-0.002;-0.002
1637954032.980573;+0.002;-0.002;-0.002
1637954033.200482;+0.002;-0.002;-0.001
1637954033.420104;+0.003;-0.003;-0.002
1637954033.630454;+0.002;-0.002;-0.002
1637954033.850512;+0.002;-0.003;-0.002
1637954034.070576;+0.002;-0.001;-0.001
1637954034.290124;+0.003;-0.001;-0.002
1637954034.499679;+0.002;-0.001;-0.001
1637954034.71041;+0.003;-0.001;-0.001
1637954034.9305;+0.004;-0.003;-0.002
1637954035.150784;+0.002;-0.001;-0.002
1637954035.370539;+0.001;-0.002;-0.002
1637954035.59053;+0.002;-0.002;-0.003
1637954035.810541;+0.002;-0.001;-0.003
1637954036.030504;+0.003;-0.001;-0.002
1637954036.250502;+0.002;-0.002;-0.001
1637954036.47054;+0.003;-0.002;-0.003
1637954036.690468;+0.002;-0.001;-0.002
1637954036.910479;+0.002;-0.002;-0.002
1637954037.130431;+0.004;-0.003;-0.002
1637954037.350442;+0.003;-0.003;-0.003
1637954037.570459;+0.002;-0.002;-0.003
1637954037.790415;+0.002;-0.002;-0.003
1637954038.01054;+0.003;-0.002;-0.003
1637954038.230147;+0.002;-0.003;-0.002
1637954038.450192;+0.003;-0.002;-0.001
1637954038.670466;+0.002;-0.002;-0.002
1637954038.890503;+0.003;-0.002;-0.002
1637954039.110637;+0.003;-0.002;-0.002
1637954039.330401;+0.002;-0.001;-0.002
1637954039.549458;+0.002;-0.002;-0.002
1637954039.769521;+0.002;-0.002;-0.002
1637954039.989406;+0.003;-0.001;-0.002
1637954040.210446;+0.002;-0.002;-0.002
1637954040.429397;+0.003;-0.002;-0.002
1637954040.649537;+0.002;-0.002;-0.002
1637954040.86945;+0.001;-0.002;-0.002
1637954041.089414;+0.002;-0.001;-0.002
1637954041.309446;+0.003;-0.003;-0.002
1637954041.529304;+0.003;-0.003;-0.001
1637954041.749396;+0.002;-0.003;-0.002
1637954041.969202;+0.003;-0.002;-0.002
1637954042.189497;+0.002;-0.001;-0.001
1637954042.409403;+0.003;-0.003;-0.003
1637954042.62954;+0.002;-0.002;-0.002
1637954042.849502;+0.003;-0.002;-0.002
1637954043.069356;+0.002;-0.002;-0.003
1637954043.289418;+0.002;-0.002;-0.002
1637954043.509083;+0.004;-0.001;-0.001
1637954043.729432;+0.003;-0.002;-0.002
1637954043.949475;+0.002;-0.002;-0.002
1637954044.16959;+0.003;-0.002;-0.003
1637954044.389478;+0.002;-0.001;-0.002
1637954044.609539;+0.002;-0.002;-0.002
1637954044.829453;+0.002;-0.002;-0.001
1637954045.049535;+0.002;-0.003;-0.002
1637954045.269482;+0.003;-0.002;-0.002
1637954045.489386;+0.004;-0.001;-0.002
1637954045.709507;+0.003;-0.002;-0.002
1637954045.929434;+0.003;-0.002;-0.002
1637954046.149336;+0.002;-0.002;-0.001
1637954046.369454;+0.002;-0.001;-0.001
1637954046.589401;+0.003;-0.002;-0.001
1637954046.809385;+0.002;-0.002;-0.002
1637954047.028447;+0.003;-0.002;-0.002
1637954047.248476;+0.002;-0.002;-0.001
1637954047.468117;+0.003;-0.002;-0.002
1637954047.677988;+0.003;-0.002;-0.003
1637954047.898348;+0.002;-0.002;-0.001
1637954048.118363;+0.003;-0.001;-0.002
1637954048.338426;+0.002;-0.002;-0.001
1637954048.558362;+0.002;-0.003;-0.002
1637954048.778535;+0.002;-0.002;-0.002
1637954048.998452;+0.003;-0.003;-0.002
1637954049.218422;+0.003;-0.002;-0.002
1637954049.438054;+0.002;-0.002;-0.002
1637954049.648014;+0.004;-0.003;-0.002
1637954049.86842;+0.003;-0.002;-0.002
1637954050.088494;+0.003;-0.002;-0.002
1637954050.308502;+0.002;-0.001;-0.002
1637954050.528388;+0.002;-0.002;-0.001
1637954050.748442;+0.002;-0.002;-0.002
1637954050.968399;+0.001;-0.002;-0.003
1637954051.188421;+0.002;-0.003;-0.003
1637954051.408475;+0.003;-0.003;-0.002
1637954051.628348;+0.002;-0.002;-0.002
1637954051.848649;+0.003;-0.003;-0.002
1637954052.068356;+0.002;-0.002;-0.002
1637954052.288514;+0.003;-0.001;-0.002
1637954052.508363;+0.003;-0.001;-0.002
1637954052.72837;+0.003;-0.003;-0.002
1637954052.948491;+0.003;-0.002;-0.002
1637954053.168383;+0.003;-0.001;-0.002
1637954053.387665;+0.003;-0.002;-0.002
1637954053.598081;+0.003;-0.002;-0.002
1637954053.818461;+0.001;-0.002;-0.002
1637954054.038346;+0.002;-0.003;-0.002
1637954054.2585;+0.002;-0.002;-0.003
1637954054.477433;+0.002;-0.002;-0.002
1637954054.697325;+0.002;-0.003;-0.002
1637954054.917354;+0.003;-0.002;-0.002
1637954055.137328;+0.002;-0.003;-0.001
1637954055.357097;+0.003;-0.001;-0.002
1637954055.568096;+0.003;-0.002;-0.002
1637954055.787394;+0.002;-0.002;-0.002
1637954056.00746;+0.003;-0.002;-0.002
1637954056.227389;+0.002;-0.002;-0.002
1637954056.44745;+0.002;-0.002;-0.002
1637954056.667038;+0.003;-0.002;-0.001
1637954056.877352;+0.003;-0.001;-0.004
1637954057.097471;+0.001;-0.001;-0.003
1637954057.317174;+0.003;-0.002;-0.001
1637954057.537411;+0.002;-0.001;-0.002
1637954057.757365;+0.004;-0.002;-0.002
1637954057.977468;+0.004;-0.001;-0.002
1637954058.197449;+0.003;-0.002;-0.002
1637954058.417433;+0.003;-0.002;-0.002
1637954058.637361;+0.002;-0.001;-0.002
1637954058.857301;+0.002;-0.002;-0.002
1637954059.077454;+0.002;-0.002;-0.002
1637954059.297026;+0.002;-0.002;-0.003
1637954059.517055;+0.002;-0.002;-0.002
1637954059.736976;+0.002;-0.002;-0.001
1637954059.957304;+0.002;-0.002;-0.001
1637954060.177317;+0.002;-0.002;-0.001
1637954060.397459;+0.002;-0.003;-0.001
1637954060.617152;+0.003;-0.001;-0.002
1637954060.837433;+0.003;-0.001;-0.003
1637954061.057483;+0.003;-0.001;-0.002
1637954061.277387;+0.003;-0.001;-0.001
1637954061.497406;+0.002;-0.002;-0.003
1637954061.716941;+0.003;-0.001;-0.002
1637954061.936312;+0.003;-0.001;-0.002
1637954062.156566;+0.004;-0.002;-0.002
1637954062.376442;+0.003;-0.003;-0.002
1637954062.597357;+0.002;-0.002;-0.002
1637954062.816346;+0.002;-0.002;-0.002
1637954063.036328;+0.002;-0.002;-0.002
1637954063.256431;+0.003;-0.002;-0.003
1637954063.476436;+0.003;-0.002;-0.002
1637954063.696454;+0.002;-0.003;-0.002
1637954063.916326;+0.003;-0.001;-0.001
1637954064.136322;+0.003;-0.002;-0.002
1637954064.356517;+0.003;-0.002;-0.002
1637954064.576398;+0.002;-0.002;-0.001
1637954064.796367;+0.003;-0.001;-0.002
1637954065.016303;+0.003;-0.001;-0.003
1637954065.236472;+0.003;-0.003;-0.002
1637954065.456463;+0.001;-0.001;-0.001
1637954065.676316;+0.003;-0.002;-0.002
1637954065.896347;+0.002;-0.001;-0.002
1637954066.116359;+0.002;-0.002;-0.002
1637954066.336419;+0.003;-0.002;-0.003
1637954066.556403;+0.004;-0.002;-0.002
1637954066.775904;+0.003;-0.002;-0.001
1637954066.996321;+0.003;-0.002;-0.001
1637954067.216313;+0.003;-0.002;-0.003
1637954067.436462;+0.002;-0.002;-0.002
1637954067.656337;+0.003;-0.002;-0.002
1637954067.876412;+0.002;-0.002;-0.002
1637954068.096322;+0.003;-0.002;-0.001
1637954068.316074;+0.003;-0.002;-0.003
1637954068.536579;+0.003;-0.001;-0.002
1637954068.756292;+0.002;-0.002;-0.002
1637954068.976271;+0.003;-0.002;-0.002
1637954069.196247;+0.003;-0.003;-0.001
1637954069.415457;+0.002;-0.001;-0.002
1637954069.636311;+0.003;-0.002;-0.002
1637954069.855315;+0.003;-0.003;-0.002
1637954070.075288;+0.003;-0.002;-0.001
1637954070.295306;+0.002;-0.002;-0.002
1637954070.51539;+0.002;-0.003;-0.003
1637954070.735254;+0.002;-0.002;-0.002
1637954070.955259;+0.003;-0.002;-0.002
1637954071.175244;+0.003;-0.002;-0.002
1637954071.395395;+0.004;-0.002;-0.002
1637954071.615355;+0.003;-0.001;-0.001
1637954071.835246;+0.003;-0.002;-0.002
1637954072.055334;+0.002;-0.003;-0.001
1637954072.275331;+0.003;-0.002;-0.002
1637954072.495375;+0.002;-0.001;-0.002
1637954072.715297;+0.003;-0.002;-0.002
1637954072.935263;+0.002;-0.002;-0.002
1637954073.155357;+0.003;-0.002;-0.003
1637954073.375315;+0.003;-0.002;-0.003
1637954073.595449;+0.002;-0.001;-0.002
1637954073.814932;+0.002;-0.002;-0.001
1637954074.035289;+0.003;-0.002;-0.001
1637954074.255497;+0.003;-0.002;-0.002
1637954074.47535;+0.003;-0.002;-0.002
1637954074.695076;+0.003;-0.001;-0.002
1637954074.915425;+0.003;-0.001;-0.002
1637954075.135397;+0.003;-0.002;-0.002
1637954075.355277;+0.003;-0.001;-0.001
1637954075.575365;+0.002;-0.003;-0.001
1637954075.79528;+0.003;-0.001;-0.003
1637954076.015249;+0.003;-0.003;-0.002
1637954076.235255;+0.003;-0.002;-0.002
1637954076.455237;+0.002;-0.002;-0.002
1637954076.675366;+0.002;-0.001;-0.003
1637954076.894249;+0.004;-0.002;-0.002
1637954077.114216;+0.002;-0.002;-0.001
1637954077.334306;+0.003;-0.002;-0.001
1637954077.554443;+0.003;-0.002;-0.003
1637954077.774462;+0.002;-0.002;-0.002
1637954077.994351;+0.002;-0.002;-0.002
1637954078.214305;+0.004;-0.002;-0.002
1637954078.434309;+0.003;-0.003;-0.002
1637954078.654328;+0.002;-0.003;-0.002
1637954078.874586;+0.003;-0.002;-0.001
1637954079.094314;+0.003;-0.002;-0.002
1637954079.314327;+0.002;-0.001;-0.001
1637954079.534387;+0.003;-0.003;-0.002
1637954079.754415;+0.002;-0.002;-0.001
1637954079.974398;+0.003;-0.002;-0.002
1637954080.194303;+0.004;-0.002;-0.002
1637954080.414216;+0.003;-0.002;-0.003
1637954080.634398;+0.002;-0.001;-0.002
1637954080.854263;+0.002;-0.003;-0.002
1637954081.074301;+0.002;-0.002;-0.001
1637954081.294308;+0.003;-0.002;-0.001
1637954081.514372;+0.003;-0.003;-0.002
1637954081.734345;+0.002;-0.002;-0.002
1637954081.954395;+0.003;-0.002;-0.002
1637954082.174347;+0.003;-0.002;-0.003
