time;x;y;z
1637943042.434152;+0.002;-0.001;-0.002
1637943042.654103;+0.002;-0.001;-0.002
1637943042.874158;+0.003;-0.002;-0.002
1637943043.09421;+0.003;-0.003;-0.002
1637943043.314101;+0.003;-0.002;-0.002
1637943043.534177;+0.003;-0.002;-0.002
1637943043.754234;+0.004;-0.002;-0.002
1637943043.974171;+0.004;-0.003;-0.003
1637943044.194198;+0.003;-0.002;-0.003
1637943044.414168;+0.003;-0.002;-0.003
1637943044.634173;+0.002;-0.002;-0.002
1637943044.854298;+0.002;-0.003;-0.002
1637943045.074177;+0.003;-0.002;-0.002
1637943045.294221;+0.003;-0.002;-0.002
1637943045.514161;+0.003;-0.001;-0.003
1637943045.734175;+0.002;-0.001;-0.002
1637943045.954222;+0.002;-0.002;-0.002
1637943046.174146;+0.003;-0.002;-0.002
1637943046.394146;+0.003;-0.002;-0.003
1637943046.614148;+0.004;-0.002;-0.002
1637943046.833918;+0.003;-0.003;-0.003
1637943047.05371;+0.003;-0.002;-0.001
1637943047.273863;+0.004;-0.002;-0.002
1637943047.493756;+0.002;-0.002;-0.002
1637943047.71419;+0.003;-0.002;-0.002
1637943047.933207;+0.003;-0.002;-0.002
1637943048.153176;+0.003;-0.003;-0.002
1637943048.373218;+0.003;-0.001;-0.003
1637943048.593102;+0.002;-0.003;-0.002
1637943048.812788;+0.003;-0.002;-0.002
1637943049.022735;+0.003;-0.002;-0.003
1637943049.233138;+0.002;-0.003;-0.003
1637943049.453096;+0.002;-0.002;-0.002
1637943049.673135;+0.003;-0.002;-0.002
1637943049.893334;+0.002;-0.002;-0.003
1637943050.113115;+0.004;-0.003;-0.003
1637943050.333094;+0.003;-0.002;-0.002
1637943050.553095;+0.003;-0.002;-0.001
1637943050.773198;+0.003;-0.002;-0.002
1637943050.99312;+0.004;-0.002;-0.003
1637943051.213128;+0.004;-0.001;-0.002
1637943051.433089;+0.003;-0.002;-0.001
1637943051.653071;+0.003;-0.001;-0.003
1637943051.873143;+0.003;-0.002;-0.002
1637943052.093064;+0.003;-0.002;-0.002
1637943052.313059;+0.004;-0.002;-0.001
1637943052.533062;+0.003;-0.002;-0.002
1637943052.753047;+0.003;-0.002;-0.003
1637943052.973146;+0.002;-0.002;-0.002
1637943053.193165;+0.002;-0.002;-0.002
1637943053.413094;+0.003;-0.002;-0.002
1637943053.633086;+0.004;-0.003;-0.002
1637943053.853216;+0.004;-0.003;-0.002
1637943054.072734;+0.003;-0.002;-0.002
1637943054.293035;+0.004;-0.003;-0.003
1637943054.513029;+0.002;-0.002;-0.002
1637943054.733033;+0.003;-0.002;-0.003
1637943054.953099;+0.004;-0.002;-0.002
1637943055.173045;+0.002;-0.003;-0.002
1637943055.392294;+0.002;-0.002;-0.003
1637943055.612279;+0.003;-0.002;-0.002
1637943055.832082;+0.003;-0.001;-0.003
1637943056.052137;+0.002;-0.002;-0.002
1637943056.272156;+0.003;-0.002;-0.003
1637943056.492074;+0.003;-0.001;-0.002
1637943056.712196;+0.002;-0.002;-0.003
1637943056.932182;+0.003;-0.002;-0.002
1637943057.152128;+0.002;-0.001;-0.002
1637943057.372062;+0.003;-0.001;-0.002
1637943057.592064;+0.003;-0.003;-0.002
1637943057.812169;+0.002;-0.002;-0.003
1637943058.032121;+0.002;-0.002;-0.002
1637943058.252117;+0.002;-0.002;-0.001
1637943058.472079;+0.003;-0.002;-0.002
1637943058.692086;+0.003;-0.002;-0.002
1637943058.912067;+0.002;-0.001;-0.002
1637943059.132079;+0.003;-0.002;-0.002
1637943059.352111;+0.002;-0.001;-0.002
1637943059.572044;+0.003;-0.002;-0.002
1637943059.79208;+0.002;-0.002;-0.001
1637943060.011788;+0.002;-0.002;-0.002
1637943060.231734;+0.003;-0.002;-0.002
1637943060.452073;+0.002;-0.002;-0.002
1637943060.672091;+0.002;-0.002;-0.003
1637943060.892156;+0.003;-0.002;-0.002
1637943061.112108;+0.002;-0.003;-0.001
1637943061.332056;+0.003;-0.002;-0.002
1637943061.552074;+0.003;-0.002;-0.002
1637943061.772074;+0.003;-0.001;-0.003
1637943061.992168;+0.003;-0.002;-0.002
1637943062.212017;+0.003;-0.002;-0.002
1637943062.432013;+0.003;-0.002;-0.001
1637943062.65179;+0.003;-0.001;-0.002
1637943062.871008;+0.003;-0.003;-0.003
1637943063.090789;+0.002;-0.002;-0.002
