time;x;y;z
1637940843.918573;+0.003;-0.002;-0.002
1637940844.138566;+0.003;-0.002;-0.001
1637940844.358558;+0.003;-0.001;-0.003
1637940844.578672;+0.003;-0.002;-0.002
1637940844.798581;+0.003;-0.002;-0.002
1637940845.018733;+0.003;-0.001;-0.002
1637940845.23868;+0.002;-0.002;-0.002
1637940845.458655;+0.003;-0.002;-0.003
1637940845.678599;+0.003;-0.002;-0.002
1637940845.898669;+0.003;-0.002;-0.002
1637940846.118742;+0.003;-0.002;-0.001
1637940846.338598;+0.002;-0.002;-0.003
1637940846.558669;+0.003;-0.001;-0.002
1637940846.778673;+0.003;-0.002;-0.002
1637940846.998582;+0.003;-0.002;-0.002
1637940847.218737;+0.002;-0.002;-0.002
1637940847.438593;+0.002;-0.002;-0.002
1637940847.658658;+0.003;-0.001;-0.002
1637940847.878633;+0.003;-0.002;-0.002
1637940848.098596;+0.003;-0.002;-0.001
1637940848.318629;+0.002;-0.002;-0.002
1637940848.53859;+0.004;-0.002;-0.002
1637940848.758584;+0.003;-0.002;-0.002
1637940848.978561;+0.003;-0.001;-0.002
1637940849.198853;+0.004;-0.002;-0.003
1637940849.418589;+0.002;-0.001;-0.002
1637940849.63856;+0.003;-0.002;-0.002
1637940849.858594;+0.002;-0.001;-0.002
1637940850.078584;+0.002;-0.002;-0.002
1637940850.297751;+0.003;-0.002;-0.002
1637940850.517666;+0.003;-0.002;-0.003
1637940850.737571;+0.003;-0.001;-0.002
1637940850.957574;+0.002;-0.002;-0.003
1637940851.177666;+0.003;-0.002;-0.003
1637940851.3977;+0.002;-0.002;-0.002
1637940851.617573;+0.003;-0.002;-0.002
1637940851.837649;+0.002;-0.003;-0.002
1637940852.057563;+0.004;-0.003;-0.003
1637940852.277537;+0.003;-0.003;-0.002
1637940852.497595;+0.003;-0.002;-0.002
1637940852.717589;+0.002;-0.002;-0.001
1637940852.937598;+0.003;-0.002;-0.002
1637940853.157738;+0.002;-0.002;-0.001
1637940853.377528;+0.003;-0.002;-0.003
1637940853.597551;+0.003;-0.003;-0.002
1637940853.8175;+0.003;-0.001;-0.002
1637940854.037571;+0.003;-0.002;-0.002
1637940854.257477;+0.004;-0.002;-0.002
1637940854.477661;+0.003;-0.002;-0.002
1637940854.697566;+0.003;-0.002;-0.001
1637940854.91756;+0.002;-0.002;-0.003
1637940855.13765;+0.002;-0.002;-0.002
1637940855.357524;+0.002;-0.002;-0.002
1637940855.577527;+0.002;-0.003;-0.002
1637940855.797599;+0.002;-0.003;-0.003
1637940856.017638;+0.002;-0.002;-0.002
1637940856.2375;+0.002;-0.001;-0.002
1637940856.457461;+0.002;-0.002;-0.002
1637940856.677478;+0.004;-0.003;-0.002
1637940856.897491;+0.003;-0.002;-0.003
1637940857.117654;+0.003;-0.002;-0.002
1637940857.3375;+0.004;-0.001;-0.003
1637940857.557772;+0.004;-0.003;-0.001
1637940857.776541;+0.004;-0.003;-0.003
1637940857.996497;+0.003;-0.002;-0.002
1637940858.216473;+0.003;-0.001;-0.003
1637940858.436478;+0.003;-0.003;-0.002
1637940858.656753;+0.004;-0.001;-0.001
1637940858.87655;+0.003;-0.002;-0.003
1637940859.096651;+0.003;-0.001;-0.002
1637940859.316183;+0.003;-0.002;-0.001
1637940859.526659;+0.003;-0.002;-0.003
1637940859.746669;+0.003;-0.002;-0.003
1637940859.96654;+0.002;-0.002;-0.002
1637940860.186665;+0.002;-0.002;-0.002
1637940860.406533;+0.002;-0.001;-0.002
1637940860.626557;+0.003;-0.003;-0.003
1637940860.84657;+0.003;-0.002;-0.002
1637940861.066561;+0.003;-0.001;-0.002
1637940861.28667;+0.003;-0.001;-0.002
1637940861.506244;+0.003;-0.003;-0.002
1637940861.726565;+0.003;-0.002;-0.002
1637940861.946649;+0.002;-0.001;-0.002
1637940862.166587;+0.002;-0.002;-0.002
1637940862.386566;+0.003;-0.002;-0.002
1637940862.606551;+0.002;-0.001;-0.002
1637940862.826676;+0.003;-0.002;-0.002
1637940863.046549;+0.002;-0.002;-0.002
1637940863.266585;+0.002;-0.002;-0.002
1637940863.48656;+0.003;-0.002;-0.002
1637940863.706526;+0.003;-0.002;-0.002
1637940863.926681;+0.002;-0.002;-0.003
1637940864.146581;+0.003;-0.002;-0.002
1637940864.366629;+0.002;-0.003;-0.002
1637940864.586545;+0.004;-0.002;-0.002
1637940864.806567;+0.002;-0.003;-0.003
1637940865.026566;+0.002;-0.003;-0.002
1637940865.245644;+0.002;-0.002;-0.002
1637940865.465632;+0.003;-0.001;-0.001
1637940865.68552;+0.002;-0.002;-0.002
1637940865.905553;+0.003;-0.002;-0.002
1637940866.125664;+0.003;-0.002;-0.002
