time;x;y;z
1637993563.958725;+0.002;-0.002;-0.002
1637993564.178579;+0.003;-0.002;-0.002
1637993564.398753;+0.003;-0.002;-0.002
1637993564.61831;+0.002;-0.002;-0.002
1637993564.838594;+0.002;-0.001;-0.003
1637993565.058665;+0.003;-0.003;-0.002
1637993565.27866;+0.002;-0.001;-0.002
1637993565.498662;+0.003;-0.002;-0.002
1637993565.718569;+0.003;-0.001;-0.002
1637993565.938576;+0.003;-0.002;-0.002
1637993566.158681;+0.003;-0.001;-0.003
1637993566.378645;+0.002;-0.002;-0.002
1637993566.598727;+0.002;-0.003;-0.003
1637993566.81859;+0.003;-0.002;-0.002
1637993567.03873;+0.003;-0.003;-0.001
1637993567.258656;+0.003;-0.002;-0.002
1637993567.478668;+0.004;-0.003;-0.003
1637993567.698732;+0.003;-0.002;-0.003
1637993567.918575;+0.003;-0.001;-0.003
1637993568.138655;+0.002;-0.002;-0.002
1637993568.358591;+0.003;-0.002;-0.002
1637993568.578572;+0.002;-0.002;-0.002
1637993568.79869;+0.003;-0.002;-0.003
1637993569.018532;+0.002;-0.003;-0.002
1637993569.238576;+0.004;-0.003;-0.002
1637993569.458683;+0.002;-0.002;-0.002
1637993569.678594;+0.003;-0.002;-0.003
1637993569.898558;+0.002;-0.002;-0.003
1637993570.118561;+0.002;-0.002;-0.002
1637993570.338718;+0.002;-0.003;-0.003
1637993570.558522;+0.003;-0.002;-0.002
1637993570.778552;+0.002;-0.002;-0.001
1637993570.998547;+0.002;-0.002;-0.002
1637993571.217637;+0.002;-0.002;-0.003
1637993571.437696;+0.003;-0.001;-0.001
1637993571.657573;+0.003;-0.002;-0.002
1637993571.877648;+0.003;-0.003;-0.002
1637993572.097531;+0.003;-0.002;-0.001
1637993572.317645;+0.002;-0.003;-0.002
1637993572.537666;+0.003;-0.002;-0.002
1637993572.757489;+0.004;-0.002;-0.002
1637993572.977654;+0.003;-0.002;-0.002
1637993573.197534;+0.002;-0.002;-0.002
1637993573.417277;+0.002;-0.002;-0.002
1637993573.637279;+0.003;-0.003;-0.002
1637993573.857553;+0.003;-0.002;-0.002
1637993574.077659;+0.003;-0.001;-0.002
1637993574.297688;+0.003;-0.002;-0.002
1637993574.517671;+0.003;-0.002;-0.001
1637993574.737628;+0.003;-0.002;-0.002
1637993574.957595;+0.002;-0.002;-0.002
1637993575.177516;+0.002;-0.003;-0.002
1637993575.397562;+0.002;-0.002;-0.002
1637993575.617749;+0.003;-0.002;-0.002
1637993575.837578;+0.002;-0.002;-0.003
1637993576.047522;+0.003;-0.003;-0.002
1637993576.267734;+0.003;-0.002;-0.003
1637993576.487741;+0.003;-0.002;-0.002
1637993576.70765;+0.004;-0.001;-0.002
1637993576.927519;+0.002;-0.003;-0.002
1637993577.137645;+0.002;-0.002;-0.002
1637993577.357665;+0.003;-0.003;-0.002
1637993577.577369;+0.002;-0.002;-0.003
1637993577.797144;+0.002;-0.003;-0.001
1637993578.017523;+0.003;-0.003;-0.002
1637993578.237654;+0.003;-0.003;-0.002
1637993578.456536;+0.002;-0.002;-0.002
1637993578.676526;+0.004;-0.002;-0.002
1637993578.896454;+0.003;-0.002;-0.003
1637993579.116541;+0.004;-0.002;-0.002
1637993579.336671;+0.003;-0.001;-0.003
1637993579.556555;+0.003;-0.003;-0.002
1637993579.776577;+0.003;-0.003;-0.001
1637993579.996518;+0.004;-0.002;-0.001
1637993580.216477;+0.002;-0.002;-0.002
1637993580.436703;+0.002;-0.003;-0.002
1637993580.656158;+0.003;-0.002;-0.003
1637993580.876519;+0.003;-0.002;-0.002
1637993581.096552;+0.002;-0.003;-0.002
1637993581.316483;+0.003;-0.004;-0.002
1637993581.536668;+0.003;-0.002;-0.002
1637993581.756497;+0.002;-0.002;-0.001
1637993581.976531;+0.003;-0.002;-0.002
1637993582.19652;+0.004;-0.003;-0.002
1637993582.416596;+0.003;-0.002;-0.002
1637993582.636558;+0.003;-0.002;-0.002
1637993582.856455;+0.003;-0.002;-0.003
1637993583.076497;+0.003;-0.002;-0.002
1637993583.296472;+0.003;-0.002;-0.003
1637993583.516822;+0.003;-0.002;-0.002
1637993583.736461;+0.003;-0.003;-0.003
1637993583.956574;+0.002;-0.002;-0.002
1637993584.176472;+0.002;-0.003;-0.003
1637993584.39648;+0.003;-0.002;-0.002
1637993584.616743;+0.003;-0.002;-0.002
1637993584.836501;+0.002;-0.002;-0.002
1637993585.056635;+0.003;-0.002;-0.002
