time;x;y;z
1637945239.169809;+0.002;-0.002;-0.002
1637945239.389635;+0.002;-0.001;-0.002
1637945239.609583;+0.002;-0.001;-0.002
1637945239.829633;+0.002;-0.001;-0.002
1637945240.049693;+0.003;-0.002;-0.002
1637945240.270191;+0.003;-0.002;-0.002
1637945240.489749;+0.003;-0.002;-0.002
1637945240.709694;+0.003;-0.001;-0.002
1637945240.929739;+0.003;-0.001;-0.002
1637945241.148956;+0.002;-0.002;-0.002
1637945241.359764;+0.003;-0.002;-0.002
1637945241.57972;+0.004;-0.001;-0.002
1637945241.799573;+0.002;-0.002;-0.003
1637945242.019798;+0.002;-0.001;-0.003
1637945242.239565;+0.002;-0.001;-0.001
1637945242.459684;+0.004;-0.001;-0.002
1637945242.679691;+0.003;-0.003;-0.002
1637945242.899708;+0.003;-0.002;-0.002
1637945243.119754;+0.003;-0.002;-0.002
1637945243.339665;+0.003;-0.002;-0.002
1637945243.559713;+0.002;-0.002;-0.002
1637945243.77956;+0.002;-0.003;-0.002
1637945243.999665;+0.002;-0.002;-0.002
1637945244.219676;+0.003;-0.002;-0.002
1637945244.43967;+0.003;-0.002;-0.003
1637945244.6597;+0.003;-0.003;-0.002
1637945244.879576;+0.002;-0.001;-0.002
1637945245.099868;+0.002;-0.003;-0.002
1637945245.319666;+0.003;-0.003;-0.002
1637945245.53966;+0.003;-0.003;-0.002
1637945245.759541;+0.002;-0.002;-0.002
1637945245.979542;+0.003;-0.002;-0.002
1637945246.199636;+0.002;-0.002;-0.002
1637945246.418579;+0.002;-0.002;-0.002
1637945246.638521;+0.003;-0.002;-0.002
1637945246.858533;+0.002;-0.001;-0.002
1637945247.078791;+0.002;-0.003;-0.002
1637945247.298335;+0.003;-0.002;-0.002
1637945247.508556;+0.002;-0.003;-0.001
1637945247.728671;+0.002;-0.001;-0.002
1637945247.948593;+0.003;-0.002;-0.002
1637945248.168662;+0.002;-0.002;-0.002
1637945248.388578;+0.002;-0.003;-0.003
1637945248.608554;+0.002;-0.003;-0.002
1637945248.828654;+0.003;-0.002;-0.002
1637945249.048545;+0.003;-0.002;-0.003
1637945249.268353;+0.003;-0.001;-0.002
1637945249.488223;+0.002;-0.002;-0.002
1637945249.70854;+0.002;-0.001;-0.002
1637945249.928583;+0.002;-0.002;-0.002
1637945250.148596;+0.001;-0.002;-0.002
1637945250.368726;+0.003;-0.002;-0.002
1637945250.588634;+0.003;-0.001;-0.002
1637945250.808685;+0.002;-0.002;-0.002
1637945251.028547;+0.001;-0.002;-0.002
1637945251.248561;+0.002;-0.001;-0.002
1637945251.468571;+0.003;-0.002;-0.002
1637945251.688549;+0.002;-0.001;-0.002
1637945251.90869;+0.002;-0.002;-0.002
1637945252.128656;+0.002;-0.002;-0.002
1637945252.348722;+0.003;-0.003;-0.002
1637945252.568658;+0.003;-0.002;-0.002
1637945252.788574;+0.002;-0.003;-0.002
1637945253.008684;+0.004;-0.002;-0.002
1637945253.228596;+0.003;-0.003;-0.001
1637945253.448322;+0.003;-0.002;-0.003
1637945253.668671;+0.003;-0.002;-0.003
1637945253.888553;+0.002;-0.002;-0.001
1637945254.107637;+0.003;-0.001;-0.001
1637945254.327543;+0.003;-0.002;-0.002
1637945254.547668;+0.003;-0.002;-0.002
1637945254.767567;+0.002;-0.002;-0.002
1637945254.987288;+0.003;-0.002;-0.002
1637945255.197366;+0.002;-0.002;-0.002
1637945255.417571;+0.003;-0.001;-0.003
1637945255.637597;+0.002;-0.001;-0.002
1637945255.85759;+0.002;-0.002;-0.002
1637945256.077685;+0.003;-0.002;-0.002
1637945256.297585;+0.003;-0.001;-0.002
1637945256.517703;+0.003;-0.002;-0.002
1637945256.737578;+0.002;-0.002;-0.002
1637945256.957588;+0.002;-0.002;-0.002
1637945257.177587;+0.002;-0.003;-0.001
1637945257.397588;+0.003;-0.002;-0.001
1637945257.617662;+0.003;-0.002;-0.002
1637945257.837556;+0.003;-0.002;-0.003
1637945258.057725;+0.003;-0.002;-0.002
1637945258.277672;+0.002;-0.002;-0.001
1637945258.497529;+0.003;-0.001;-0.002
1637945258.71755;+0.002;-0.002;-0.002
1637945258.937531;+0.002;-0.002;-0.002
1637945259.157684;+0.003;-0.002;-0.003
1637945259.377249;+0.003;-0.002;-0.002
1637945259.597802;+0.002;-0.001;-0.002
1637945259.817546;+0.003;-0.002;-0.001
1637945260.03757;+0.002;-0.001;-0.001
1637945260.257673;+0.003;-0.001;-0.002
1637945260.477576;+0.003;-0.002;-0.003
1637945260.697289;+0.002;-0.001;-0.002
1637945260.917188;+0.002;-0.002;-0.002
1637945261.137557;+0.002;-0.003;-0.002
1637945261.357587;+0.003;-0.002;-0.002
1637945261.576503;+0.003;-0.002;-0.002
1637945261.796518;+0.002;-0.003;-0.002
1637945262.016473;+0.003;-0.001;-0.001
1637945262.236711;+0.003;-0.002;-0.002
1637945262.456588;+0.003;-0.002;-0.003
1637945262.676711;+0.003;-0.001;-0.002
1637945262.896579;+0.003;-0.001;-0.001
1637945263.116525;+0.002;-0.003;-0.001
1637945263.336795;+0.003;-0.001;-0.002
1637945263.556533;+0.002;-0.002;-0.002
1637945263.776671;+0.002;-0.002;-0.003
1637945263.996527;+0.004;-0.001;-0.002
1637945264.216522;+0.003;-0.003;-0.002
1637945264.436651;+0.003;-0.002;-0.002
1637945264.656494;+0.002;-0.002;-0.002
