time;x;y;z
1637934246.203567;+0.003;-0.002;-0.002
1637934246.423124;+0.003;-0.001;-0.003
1637934246.643152;+0.002;-0.002;-0.002
1637934246.863106;+0.003;-0.002;-0.002
1637934247.083143;+0.003;-0.002;-0.002
1637934247.303088;+0.003;-0.002;-0.003
1637934247.523143;+0.003;-0.002;-0.002
1637934247.743112;+0.003;-0.002;-0.001
1637934247.963127;+0.003;-0.002;-0.002
1637934248.183104;+0.003;-0.002;-0.002
1637934248.402105;+0.003;-0.003;-0.002
1637934248.622171;+0.003;-0.002;-0.003
1637934248.842125;+0.002;-0.002;-0.003
1637934249.062107;+0.003;-0.003;-0.002
1637934249.282103;+0.004;-0.002;-0.002
1637934249.502092;+0.003;-0.002;-0.002
1637934249.722175;+0.004;-0.002;-0.002
1637934249.942104;+0.003;-0.003;-0.003
1637934250.162102;+0.003;-0.001;-0.002
1637934250.382137;+0.003;-0.001;-0.001
1637934250.602149;+0.004;-0.003;-0.002
1637934250.822077;+0.003;-0.003;-0.002
1637934251.042125;+0.003;-0.004;-0.002
1637934251.26211;+0.002;-0.002;-0.002
1637934251.482098;+0.004;-0.002;-0.003
1637934251.702103;+0.002;-0.001;-0.002
1637934251.922212;+0.003;-0.002;-0.001
1637934252.142179;+0.002;-0.002;-0.002
1637934252.362173;+0.003;-0.002;-0.002
1637934252.582187;+0.003;-0.003;-0.002
1637934252.802179;+0.002;-0.001;-0.002
1637934253.022165;+0.003;-0.003;-0.003
1637934253.242199;+0.003;-0.002;-0.002
1637934253.462151;+0.003;-0.003;-0.002
1637934253.672163;+0.003;-0.003;-0.002
1637934253.892165;+0.003;-0.002;-0.003
1637934254.112188;+0.003;-0.003;-0.002
1637934254.332158;+0.003;-0.002;-0.002
1637934254.552163;+0.003;-0.002;-0.002
1637934254.772138;+0.002;-0.001;-0.003
1637934254.992212;+0.001;-0.002;-0.002
1637934255.212181;+0.003;-0.003;-0.002
1637934255.432153;+0.003;-0.002;-0.003
1637934255.652156;+0.002;-0.002;-0.002
1637934255.871172;+0.002;-0.002;-0.003
1637934256.09122;+0.003;-0.003;-0.003
1637934256.311172;+0.002;-0.002;-0.003
1637934256.531171;+0.002;-0.003;-0.001
1637934256.75121;+0.003;-0.003;-0.002
1637934256.971134;+0.004;-0.001;-0.002
1637934257.191162;+0.003;-0.003;-0.002
1637934257.41116;+0.003;-0.002;-0.002
1637934257.63122;+0.003;-0.003;-0.003
1637934257.851174;+0.002;-0.002;-0.002
1637934258.071194;+0.004;-0.002;-0.003
1637934258.291169;+0.003;-0.003;-0.003
1637934258.511177;+0.003;-0.002;-0.003
1637934258.73117;+0.002;-0.002;-0.001
1637934258.951177;+0.003;-0.003;-0.002
1637934259.171149;+0.003;-0.003;-0.002
1637934259.391157;+0.002;-0.003;-0.002
1637934259.611229;+0.003;-0.002;-0.003
1637934259.831178;+0.003;-0.002;-0.002
1637934260.051223;+0.003;-0.003;-0.002
1637934260.271152;+0.002;-0.002;-0.002
1637934260.49116;+0.004;-0.002;-0.002
1637934260.711145;+0.003;-0.002;-0.003
1637934260.931168;+0.003;-0.003;-0.003
1637934261.151155;+0.003;-0.002;-0.002
1637934261.371157;+0.003;-0.002;-0.003
1637934261.591196;+0.003;-0.002;-0.002
1637934261.811177;+0.002;-0.002;-0.002
1637934262.031037;+0.004;-0.002;-0.002
1637934262.251109;+0.003;-0.002;-0.002
1637934262.471057;+0.003;-0.003;-0.002
1637934262.691041;+0.003;-0.002;-0.002
1637934262.911038;+0.002;-0.002;-0.001
1637934263.131022;+0.003;-0.002;-0.002
1637934263.35003;+0.002;-0.002;-0.002
1637934263.570035;+0.003;-0.002;-0.002
1637934263.791021;+0.003;-0.001;-0.002
1637934264.010026;+0.002;-0.003;-0.002
1637934264.230049;+0.003;-0.001;-0.003
1637934264.45006;+0.002;-0.002;-0.003
1637934264.670041;+0.002;-0.002;-0.003
1637934264.890025;+0.002;-0.002;-0.002
1637934265.110037;+0.002;-0.002;-0.003
1637934265.330021;+0.003;-0.002;-0.002
1637934265.550045;+0.003;-0.002;-0.003
1637934265.770043;+0.003;-0.002;-0.002
1637934265.990053;+0.003;-0.002;-0.002
1637934266.21006;+0.003;-0.002;-0.002
1637934266.430045;+0.003;-0.002;-0.003
1637934266.650016;+0.003;-0.002;-0.002
1637934266.870019;+0.003;-0.002;-0.002
1637934267.09004;+0.003;-0.002;-0.003
1637934267.309998;+0.002;-0.002;-0.002
1637934267.530014;+0.002;-0.002;-0.002
1637934267.750023;+0.003;-0.002;-0.002
1637934267.970004;+0.003;-0.003;-0.002
1637934268.190018;+0.002;-0.002;-0.003
1637934268.409989;+0.004;-0.002;-0.003
1637934268.63004;+0.003;-0.003;-0.002
1637934268.850012;+0.003;-0.002;-0.002
1637934269.070056;+0.003;-0.002;-0.002
1637934269.290226;+0.003;-0.002;-0.002
1637934269.510309;+0.003;-0.002;-0.003
1637934269.73039;+0.002;-0.003;-0.002
1637934269.949919;+0.003;-0.003;-0.002
1637934270.170132;+0.003;-0.003;-0.002
1637934270.390041;+0.003;-0.002;-0.002
1637934270.610053;+0.002;-0.003;-0.002
1637934270.829015;+0.002;-0.002;-0.003
1637934271.049024;+0.002;-0.002;-0.002
1637934271.269031;+0.003;-0.002;-0.002
1637934271.48904;+0.003;-0.003;-0.002
1637934271.70902;+0.004;-0.002;-0.002
1637934271.929001;+0.003;-0.002;-0.003
1637934272.149144;+0.002;-0.002;-0.003
1637934272.369082;+0.003;-0.002;-0.002
1637934272.589129;+0.002;-0.002;-0.002
1637934272.809092;+0.003;-0.002;-0.003
1637934273.029107;+0.003;-0.002;-0.002
1637934273.249122;+0.003;-0.002;-0.003
1637934273.469102;+0.003;-0.002;-0.002
1637934273.689088;+0.002;-0.002;-0.002
1637934273.909117;+0.002;-0.002;-0.003
1637934274.129181;+0.002;-0.001;-0.002
1637934274.349099;+0.003;-0.002;-0.002
1637934274.569153;+0.003;-0.003;-0.002
1637934274.789127;+0.003;-0.003;-0.002
1637934275.009107;+0.004;-0.003;-0.003
1637934275.229109;+0.002;-0.002;-0.002
1637934275.449098;+0.003;-0.002;-0.002
1637934275.669092;+0.002;-0.002;-0.002
1637934275.889116;+0.003;-0.003;-0.002
1637934276.109372;+0.003;-0.001;-0.002
