time;x;y;z
1637958415.303212;+0.002;-0.001;-0.001
1637958415.523141;+0.003;-0.001;-0.002
1637958415.743138;+0.002;-0.002;-0.002
1637958415.963147;+0.003;-0.001;-0.002
1637958416.183142;+0.002;-0.001;-0.002
1637958416.40313;+0.002;-0.002;-0.002
1637958416.623144;+0.003;-0.002;-0.002
1637958416.8431;+0.002;-0.002;-0.003
1637958417.06312;+0.002;-0.002;-0.001
1637958417.28331;+0.002;-0.002;-0.002
1637958417.50322;+0.003;-0.002;-0.002
1637958417.723099;+0.001;-0.002;-0.001
1637958417.943115;+0.002;-0.002;-0.002
1637958418.163193;+0.003;-0.002;-0.002
1637958418.383265;+0.002;-0.002;-0.002
1637958418.603193;+0.002;-0.001;-0.002
1637958418.823077;+0.003;-0.001;-0.002
1637958419.043115;+0.002;-0.001;-0.002
1637958419.263343;+0.002;-0.003;-0.002
1637958419.483283;+0.003;-0.002;-0.001
1637958419.70279;+0.002;-0.002;-0.002
1637958419.923238;+0.002;-0.001;-0.002
1637958420.143297;+0.002;-0.001;-0.001
1637958420.363119;+0.003;-0.003;-0.002
1637958420.583195;+0.002;-0.002;-0.001
1637958420.803116;+0.002;-0.002;-0.002
1637958421.02312;+0.002;-0.002;-0.001
1637958421.243242;+0.001;-0.001;-0.002
1637958421.463196;+0.003;-0.002;-0.002
1637958421.682825;+0.002;-0.002;-0.002
1637958421.903066;+0.003;-0.001;-0.001
1637958422.122865;+0.003;-0.002;-0.002
1637958422.34318;+0.002;-0.002;-0.002
1637958422.562189;+0.003;-0.002;-0.001
1637958422.782188;+0.003;-0.001;-0.002
1637958423.002104;+0.004;-0.002;-0.002
1637958423.221924;+0.002;-0.002;-0.003
1637958423.43177;+0.002;-0.002;-0.002
1637958423.641765;+0.002;-0.001;-0.002
1637958423.851813;+0.002;-0.002;-0.001
1637958424.072045;+0.002;-0.002;-0.002
1637958424.292124;+0.003;-0.002;-0.002
1637958424.512047;+0.003;-0.001;-0.002
1637958424.732073;+0.002;-0.001;-0.002
1637958424.952148;+0.002;-0.002;-0.002
1637958425.172211;+0.001;-0.002;-0.002
1637958425.392185;+0.002;-0.002;-0.002
1637958425.612392;+0.003;-0.001;-0.002
1637958425.832099;+0.003;-0.001;-0.002
1637958426.052129;+0.002;-0.002;-0.002
