time;x;y;z
1637938645.004322;+0.002;-0.003;-0.002
1637938645.22326;+0.004;-0.001;-0.002
1637938645.443255;+0.003;-0.002;-0.002
1637938645.663226;+0.002;-0.002;-0.003
1637938645.884211;+0.004;-0.002;-0.001
1637938646.103194;+0.003;-0.003;-0.003
1637938646.323238;+0.002;-0.002;-0.002
1637938646.543217;+0.003;-0.003;-0.002
1637938646.763231;+0.002;-0.002;-0.001
1637938646.983292;+0.004;-0.003;-0.002
1637938647.2032;+0.003;-0.002;-0.001
1637938647.423196;+0.003;-0.002;-0.002
1637938647.643444;+0.002;-0.002;-0.003
1637938647.863218;+0.003;-0.002;-0.002
1637938648.083303;+0.002;-0.001;-0.001
1637938648.303336;+0.002;-0.002;-0.003
1637938648.523251;+0.003;-0.003;-0.002
1637938648.743287;+0.002;-0.002;-0.001
1637938648.963225;+0.003;-0.001;-0.003
1637938649.18321;+0.002;-0.001;-0.002
1637938649.403216;+0.003;-0.002;-0.002
1637938649.623228;+0.004;-0.002;-0.003
1637938649.843216;+0.003;-0.002;-0.002
1637938650.063277;+0.003;-0.002;-0.002
1637938650.283226;+0.003;-0.002;-0.003
1637938650.50322;+0.003;-0.001;-0.003
1637938650.723272;+0.002;-0.002;-0.002
1637938650.943186;+0.003;-0.002;-0.002
1637938651.162947;+0.003;-0.002;-0.001
1637938651.382942;+0.002;-0.002;-0.002
1637938651.603204;+0.004;-0.002;-0.002
1637938651.823287;+0.003;-0.003;-0.002
1637938652.043224;+0.003;-0.002;-0.002
1637938652.263197;+0.003;-0.003;-0.003
1637938652.483219;+0.002;-0.001;-0.002
1637938652.703204;+0.003;-0.003;-0.002
1637938652.92328;+0.002;-0.002;-0.003
1637938653.142249;+0.003;-0.002;-0.001
1637938653.362242;+0.003;-0.002;-0.002
1637938653.582183;+0.002;-0.001;-0.002
1637938653.802209;+0.004;-0.003;-0.002
1637938654.022205;+0.004;-0.003;-0.002
1637938654.242222;+0.003;-0.002;-0.003
1637938654.46224;+0.002;-0.002;-0.003
1637938654.682203;+0.003;-0.001;-0.002
1637938654.902235;+0.003;-0.002;-0.001
1637938655.122206;+0.003;-0.003;-0.002
1637938655.342188;+0.002;-0.003;-0.003
1637938655.5622;+0.003;-0.002;-0.002
1637938655.782225;+0.002;-0.003;-0.003
1637938656.002219;+0.002;-0.002;-0.002
1637938656.222253;+0.004;-0.001;-0.002
1637938656.442113;+0.003;-0.002;-0.002
1637938656.662176;+0.002;-0.002;-0.002
1637938656.882212;+0.004;-0.001;-0.002
1637938657.102234;+0.003;-0.001;-0.001
1637938657.322124;+0.002;-0.001;-0.001
1637938657.542251;+0.002;-0.002;-0.002
1637938657.762081;+0.003;-0.002;-0.002
1637938657.982102;+0.003;-0.001;-0.003
1637938658.202109;+0.003;-0.003;-0.002
1637938658.422097;+0.002;-0.002;-0.002
1637938658.642231;+0.002;-0.001;-0.003
1637938658.862064;+0.002;-0.002;-0.002
1637938659.082236;+0.003;-0.002;-0.002
1637938659.302127;+0.004;-0.002;-0.002
1637938659.522057;+0.003;-0.001;-0.003
1637938659.74212;+0.003;-0.002;-0.002
1637938659.962089;+0.002;-0.002;-0.002
1637938660.181238;+0.002;-0.002;-0.002
1637938660.401179;+0.003;-0.002;-0.002
1637938660.62123;+0.002;-0.001;-0.003
