time;x;y;z
1637949633.050956;+0.003;-0.002;-0.002
1637949633.271125;+0.002;-0.002;-0.002
1637949633.490915;+0.003;-0.002;-0.002
1637949633.710936;+0.002;-0.002;-0.002
1637949633.93093;+0.001;-0.002;-0.001
1637949634.150924;+0.003;-0.002;-0.001
1637949634.371014;+0.002;-0.001;-0.002
1637949634.590997;+0.002;-0.002;-0.002
1637949634.811274;+0.002;-0.002;-0.003
1637949635.02097;+0.002;-0.001;-0.002
1637949635.240785;+0.002;-0.002;-0.002
1637949635.460845;+0.003;-0.003;-0.002
1637949635.680919;+0.003;-0.001;-0.002
1637949635.900917;+0.002;-0.002;-0.003
1637949636.120837;+0.002;-0.003;-0.001
1637949636.340845;+0.003;-0.002;-0.001
1637949636.560972;+0.003;-0.003;-0.003
1637949636.780825;+0.003;-0.002;-0.002
1637949637.000939;+0.002;-0.002;-0.001
1637949637.219792;+0.002;-0.001;-0.002
1637949637.439939;+0.003;-0.002;-0.002
1637949637.659955;+0.002;-0.002;-0.001
1637949637.879839;+0.002;-0.003;-0.002
1637949638.100019;+0.003;-0.002;-0.002
1637949638.319948;+0.002;-0.002;-0.002
1637949638.53972;+0.003;-0.001;-0.002
1637949638.75953;+0.002;-0.002;-0.002
1637949638.969468;+0.003;-0.002;-0.002
1637949639.18995;+0.003;-0.002;-0.002
1637949639.409557;+0.003;-0.002;-0.003
1637949639.619942;+0.002;-0.002;-0.002
1637949639.839826;+0.002;-0.002;-0.002
1637949640.059923;+0.002;-0.002;-0.001
1637949640.279959;+0.002;-0.002;-0.001
1637949640.4999;+0.002;-0.001;-0.002
1637949640.719874;+0.002;-0.002;-0.003
1637949640.939823;+0.002;-0.003;-0.002
1637949641.160047;+0.002;-0.002;-0.002
1637949641.379821;+0.003;-0.001;-0.002
1637949641.599836;+0.002;-0.002;-0.003
1637949641.81984;+0.003;-0.001;-0.002
1637949642.039773;+0.003;-0.001;-0.003
1637949642.260007;+0.002;-0.002;-0.001
1637949642.47979;+0.003;-0.002;-0.002
1637949642.700006;+0.002;-0.001;-0.002
1637949642.919906;+0.001;-0.002;-0.002
1637949643.139854;+0.002;-0.002;-0.002
1637949643.359884;+0.002;-0.002;-0.002
1637949643.579897;+0.004;-0.002;-0.001
1637949643.799922;+0.003;-0.001;-0.003
1637949644.019907;+0.003;-0.003;-0.002
1637949644.239977;+0.002;-0.002;-0.002
1637949644.459934;+0.002;-0.001;-0.002
1637949644.678922;+0.002;-0.002;-0.002
1637949644.898487;+0.003;-0.002;-0.002
1637949645.108833;+0.003;-0.002;-0.002
1637949645.329011;+0.003;-0.002;-0.002
1637949645.549853;+0.003;-0.002;-0.002
1637949645.768804;+0.003;-0.001;-0.003
1637949645.988861;+0.002;-0.002;-0.002
1637949646.208801;+0.002;-0.002;-0.002
1637949646.428937;+0.002;-0.002;-0.002
1637949646.648971;+0.002;-0.002;-0.002
1637949646.869013;+0.002;-0.002;-0.001
1637949647.0889;+0.003;-0.002;-0.002
1637949647.308867;+0.002;-0.003;-0.002
1637949647.528763;+0.003;-0.001;-0.001
1637949647.748519;+0.002;-0.001;-0.002
1637949647.958409;+0.003;-0.002;-0.001
1637949648.168898;+0.002;-0.002;-0.001
1637949648.388802;+0.001;-0.001;-0.002
1637949648.60881;+0.002;-0.003;-0.003
1637949648.828857;+0.003;-0.002;-0.002
1637949649.048488;+0.003;-0.002;-0.002
1637949649.268797;+0.003;-0.002;-0.001
1637949649.488965;+0.003;-0.001;-0.002
1637949649.708932;+0.002;-0.001;-0.002
1637949649.928438;+0.002;-0.002;-0.002
1637949650.14884;+0.004;-0.003;-0.003
1637949650.368791;+0.001;-0.002;-0.002
1637949650.588827;+0.002;-0.002;-0.001
1637949650.808844;+0.002;-0.001;-0.002
1637949651.028753;+0.003;-0.001;-0.002
1637949651.248831;+0.002;-0.002;-0.002
1637949651.469142;+0.003;-0.002;-0.003
1637949651.688951;+0.002;-0.001;-0.002
1637949651.908826;+0.002;-0.002;-0.002
1637949652.12883;+0.003;-0.001;-0.002
1637949652.34742;+0.003;-0.002;-0.002
1637949652.567917;+0.002;-0.002;-0.001
1637949652.787873;+0.002;-0.002;-0.002
1637949653.007784;+0.002;-0.001;-0.003
1637949653.227759;+0.002;-0.001;-0.002
1637949653.447766;+0.003;-0.002;-0.002
1637949653.667721;+0.002;-0.002;-0.002
1637949653.8878;+0.002;-0.002;-0.001
1637949654.107766;+0.002;-0.002;-0.001
1637949654.327851;+0.002;-0.002;-0.001
1637949654.547804;+0.002;-0.001;-0.003
1637949654.76795;+0.004;-0.002;-0.002
1637949654.987757;+0.003;-0.002;-0.001
1637949655.207736;+0.003;-0.002;-0.002
1637949655.427802;+0.003;-0.002;-0.002
1637949655.647503;+0.002;-0.001;-0.002
1637949655.867558;+0.003;-0.002;-0.002
1637949656.087655;+0.002;-0.002;-0.002
1637949656.307858;+0.003;-0.002;-0.002
1637949656.527816;+0.003;-0.001;-0.002
1637949656.747947;+0.002;-0.001;-0.002
1637949656.967802;+0.003;-0.002;-0.002
1637949657.187818;+0.002;-0.002;-0.003
1637949657.407824;+0.002;-0.002;-0.002
1637949657.628007;+0.003;-0.001;-0.002
1637949657.84789;+0.002;-0.002;-0.003
1637949658.067407;+0.003;-0.002;-0.002
1637949658.287769;+0.002;-0.002;-0.002
1637949658.507814;+0.002;-0.002;-0.003
1637949658.727885;+0.002;-0.002;-0.002
1637949658.947656;+0.003;-0.002;-0.002
1637949659.167721;+0.003;-0.002;-0.002
1637949659.387709;+0.003;-0.003;-0.002
1637949659.606692;+0.002;-0.001;-0.002
1637949659.82686;+0.003;-0.002;-0.003
1637949660.047933;+0.003;-0.002;-0.001
1637949660.266831;+0.003;-0.002;-0.002
1637949660.486832;+0.002;-0.003;-0.002
1637949660.706802;+0.003;-0.002;-0.001
1637949660.92681;+0.003;-0.002;-0.002
1637949661.146818;+0.002;-0.002;-0.002
1637949661.366772;+0.003;-0.002;-0.002
1637949661.586833;+0.002;-0.002;-0.002
1637949661.807086;+0.003;-0.002;-0.002
1637949662.027068;+0.003;-0.002;-0.001
1637949662.246502;+0.003;-0.001;-0.001
1637949662.456813;+0.002;-0.002;-0.003
1637949662.676793;+0.002;-0.002;-0.003
1637949662.896893;+0.002;-0.002;-0.001
1637949663.116978;+0.003;-0.002;-0.002
1637949663.336767;+0.003;-0.002;-0.003
1637949663.556802;+0.002;-0.003;-0.003
1637949663.776391;+0.003;-0.002;-0.002
1637949663.996803;+0.003;-0.002;-0.002
1637949664.216854;+0.003;-0.002;-0.002
1637949664.436776;+0.003;-0.001;-0.002
1637949664.656968;+0.003;-0.001;-0.002
1637949664.876831;+0.003;-0.002;-0.002
1637949665.096865;+0.002;-0.002;-0.002
1637949665.316838;+0.002;-0.001;-0.002
1637949665.536774;+0.003;-0.002;-0.002
1637949665.756835;+0.003;-0.002;-0.001
1637949665.976774;+0.002;-0.002;-0.002
1637949666.196809;+0.002;-0.002;-0.001
1637949666.41681;+0.002;-0.002;-0.001
1637949666.636782;+0.002;-0.001;-0.002
1637949666.8568;+0.003;-0.002;-0.002
1637949667.075773;+0.003;-0.001;-0.002
1637949667.295425;+0.002;-0.002;-0.001
1637949667.505415;+0.003;-0.001;-0.001
1637949667.715744;+0.002;-0.002;-0.001
1637949667.935805;+0.004;-0.002;-0.002
1637949668.155749;+0.003;-0.002;-0.001
1637949668.375797;+0.003;-0.001;-0.002
1637949668.595751;+0.002;-0.001;-0.002
1637949668.815725;+0.002;-0.002;-0.001
1637949669.035362;+0.002;-0.002;-0.002
1637949669.245436;+0.003;-0.001;-0.002
1637949669.465709;+0.003;-0.002;-0.002
1637949669.685678;+0.002;-0.002;-0.001
1637949669.905844;+0.003;-0.001;-0.002
1637949670.125737;+0.003;-0.002;-0.001
1637949670.345371;+0.002;-0.002;-0.002
1637949670.565698;+0.002;-0.001;-0.002
1637949670.785993;+0.003;-0.001;-0.002
1637949671.005565;+0.003;-0.002;-0.002
1637949671.227358;+0.003;-0.001;-0.002
1637949671.445342;+0.003;-0.002;-0.002
1637949671.665916;+0.002;-0.002;-0.002
1637949671.885722;+0.003;-0.001;-0.002
1637949672.10575;+0.002;-0.001;-0.002
1637949672.325482;+0.003;-0.001;-0.001
1637949672.545702;+0.002;-0.002;-0.002
1637949672.765417;+0.004;-0.002;-0.002
1637949672.985774;+0.003;-0.002;-0.002
1637949673.205729;+0.003;-0.002;-0.002
1637949673.425797;+0.001;-0.001;-0.002
1637949673.645793;+0.003;-0.003;-0.002
1637949673.865646;+0.003;-0.002;-0.002
1637949674.085701;+0.002;-0.002;-0.003
1637949674.30573;+0.002;-0.001;-0.002
1637949674.524756;+0.003;-0.001;-0.001
1637949674.744811;+0.002;-0.002;-0.002
1637949674.964777;+0.003;-0.001;-0.002
1637949675.184289;+0.003;-0.002;-0.001
1637949675.394663;+0.003;-0.002;-0.001
1637949675.604822;+0.003;-0.003;-0.002
1637949675.824794;+0.002;-0.002;-0.002
1637949676.044715;+0.003;-0.002;-0.002
1637949676.264799;+0.003;-0.003;-0.002
1637949676.484799;+0.002;-0.002;-0.002
1637949676.704849;+0.002;-0.002;-0.001
1637949676.924716;+0.002;-0.002;-0.002
1637949677.144648;+0.002;-0.002;-0.002
1637949677.364761;+0.004;-0.002;-0.002
1637949677.584599;+0.003;-0.002;-0.001
1637949677.804737;+0.002;-0.001;-0.002
1637949678.024449;+0.003;-0.002;-0.003
1637949678.244389;+0.002;-0.001;-0.003
1637949678.464728;+0.003;-0.001;-0.002
1637949678.68458;+0.002;-0.002;-0.002
1637949678.904855;+0.002;-0.002;-0.001
1637949679.124809;+0.002;-0.002;-0.002
1637949679.344817;+0.003;-0.002;-0.002
1637949679.564741;+0.002;-0.002;-0.002
1637949679.784726;+0.002;-0.002;-0.002
1637949680.004517;+0.002;-0.002;-0.002
1637949680.224696;+0.003;-0.001;-0.002
1637949680.444758;+0.002;-0.002;-0.002
1637949680.664685;+0.003;-0.002;-0.002
1637949680.884643;+0.003;-0.001;-0.002
1637949681.104814;+0.002;-0.002;-0.002
1637949681.32469;+0.003;-0.002;-0.003
1637949681.544789;+0.002;-0.003;-0.001
1637949681.764674;+0.002;-0.003;-0.002
1637949681.983862;+0.002;-0.002;-0.002
1637949682.202978;+0.003;-0.002;-0.001
1637949682.413264;+0.003;-0.001;-0.002
1637949682.633733;+0.002;-0.001;-0.002
1637949682.853657;+0.003;-0.002;-0.002
1637949683.073791;+0.001;-0.001;-0.003
1637949683.293727;+0.003;-0.002;-0.002
1637949683.513701;+0.002;-0.002;-0.001
1637949683.733721;+0.002;-0.002;-0.001
1637949683.953722;+0.003;-0.002;-0.002
1637949684.173741;+0.002;-0.002;-0.002
1637949684.39369;+0.002;-0.001;-0.002
1637949684.613716;+0.003;-0.002;-0.002
1637949684.833687;+0.004;-0.001;-0.001
1637949685.053903;+0.002;-0.002;-0.001
1637949685.273408;+0.003;-0.003;-0.002
